pop1	pop2	nean_int_mean_frag_len	nean_int_total_seq_len	nean_int_n_frags	nean_n_ind1	nean_art1_mean_frag_len	nean_art1_total_seq_len	nean_art1_n_frags	nean_n_ind2	nean_art2_mean_frag_len	nean_art2_total_seq_len	nean_art2_n_frags	deni_int_mean_frag_len	deni_int_total_seq_len	deni_int_n_frags	deni_n_ind1	deni_art1_mean_frag_len	deni_art1_total_seq_len	deni_art1_n_frags	deni_n_ind2	deni_art2_mean_frag_len	deni_art2_total_seq_len	deni_art2_n_frags	mpd_neanderthal	mpd_whole_genome	mpd_denisova	reg1	reg2	nean_ratio1	nean_ratio2	deni_ratio1	deni_ratio2	div_neanderthal	div_whole_genome	div_denisova	norm_div_neanderthal	norm_div_whole_genome	norm_div_denisova
BergamoItalian	Burusho	57140.449438202246	162738848	2848	12	89985.15151515152	296951000	3300	24	83004.2372881356	470136000	5664	50934.782608695656	4686092	92	12	71886.36363636363	9489000	132	24	82881.53846153847	53873000	650	11313.0	1632102.9879722574	697.0	EUR	SAS	0.5480326653218881	0.346152704749264	0.493844662240489	0.08698405509253243	6.951628415115732e-05	0.0007246428016897297	0.0001487380102652701	-0.3201981671087633	0.008033295422387945	-0.22726027681309577
Tuscan	Burusho	56446.205170975816	135360398	2398	8	89399.92503748125	238519000	2668	24	83004.2372881356	470136000	5664	43000.0	3268076	76	8	62451.32743362832	7057000	113	24	82881.53846153847	53873000	650	10922.5	1634359.9378582716	549.5	EUR	SAS	0.5675036286417434	0.2879175345006551	0.46309706674224177	0.06066259536316893	8.069199087313558e-05	0.0007256448723315503	0.00016814174456163198	-0.21694803163249304	0.03184774111308607	-0.11099938208340945
French	Burusho	52633.79544860058	201222823	3823	28	81519.47236180905	389337000	4776	24	83004.2372881356	470136000	5664	54061.53846153846	7028130	130	28	73666.66666666667	15691000	213	24	82881.53846153847	53873000	650	14091.0	1630481.46784823	860.0	EUR	SAS	0.5168345751880762	0.42800981630847246	0.4479083551080237	0.1304573719674048	7.002684779946656e-05	0.0007239228576087919	0.00012236540872180793	-0.3154811709340591	-0.009076345854682023	-0.3852763681985203
Orcadian	Burusho	53661.68996188056	168930148	3148	15	85381.43762049022	310020000	3631	24	83004.2372881356	470136000	5664	49463.63636363636	5441110	110	15	70681.52866242039	11097000	157	24	82881.53846153847	53873000	650	11853.5	1626219.4549110897	798.5	EUR	SAS	0.5449008063995872	0.3593218728197798	0.4903226097143372	0.10099883058303788	7.016805549711588e-05	0.0007220305523937612	0.00014675314411949033	-0.3141765810521582	-0.05404742662769143	-0.23915295223847952
Bedouin	Burusho	52348.063555114204	210862028	4028	46	79872.41706161137	421327000	5275	24	83004.2372881356	470136000	5664	51941.93548387097	8051155	155	46	79059.70149253731	26485000	335	24	82881.53846153847	53873000	650	13247.0	1692175.0624438287	963.0	MID	SAS	0.5004711969562834	0.4485128303299471	0.30398923919199544	0.1494469400256158	6.282307025900367e-05	0.0007513144006446931	0.00011961016773369784	-0.38203544132583295	0.6418901497087006	-0.4017848803014532
Palestinian	Burusho	50893.27691584391	216504254	4254	46	78281.71573973101	430706000	5502	24	83004.2372881356	470136000	5664	53973.856209150326	8258153	153	46	72522.29299363057	22772000	314	24	82881.53846153847	53873000	650	13707.0	1677333.13060416	959.0	MID	SAS	0.5026729462789002	0.46051409379413616	0.36264504654839275	0.15328927291964434	6.331053430479015e-05	0.0007447246822567942	0.00011612766196024704	-0.3775318577924279	0.4852839344218235	-0.42265092757559053
Druze	Burusho	52245.25	208985000	4000	42	79069.13866357667	409420000	5178	24	83004.2372881356	470136000	5664	50300.0	7545150	150	42	72399.29328621908	20489000	283	24	82881.53846153847	53873000	650	13251.0	1649073.5291874986	969.5	MID	SAS	0.5104416003126374	0.4445203090169653	0.36825369710576406	0.14005438716982532	6.340646457879752e-05	0.0007321776083918988	0.00012849313797605084	-0.376645577037757	0.18709975791520123	-0.3485609981115815
Russian	Burusho	53047.107639736394	217338097	4097	25	83296.06707925734	417230000	5009	24	83004.2372881356	470136000	5664	50065.08875739645	8461169	169	25	72232.0819112628	21164000	293	24	82881.53846153847	53873000	650	14282.0	1626874.3688949195	1065.0	EUR	SAS	0.5209071663111473	0.4622877146187486	0.39979063504063506	0.15705769123679766	6.571328357586567e-05	0.0007223213298187188	0.0001258691322676571	-0.3553333343410052	-0.047137032384273574	-0.3642831909005674
Balochi	Burusho	53597.674948712105	235137387	4387	24	83252.24382946896	445233000	5348	24	83004.2372881356	470136000	5664	51134.387351778656	12937253	253	24	84783.78378378379	40781000	481	24	82881.53846153847	53873000	650	15640.0	1640328.9533507575	1200.0	SAS	SAS	0.528122100113873	0.5001475892082291	0.31723726735489566	0.24014354129155607	6.651430552811238e-05	0.0007282950752548219	9.275539405467297e-05	-0.3479328515664985	0.09483044008819635	-0.5626899910394441
Brahui	Burusho	54300.395256917	233550301	4301	25	83963.44747979993	436442000	5198	24	83004.2372881356	470136000	5664	50494.02390438247	12674251	251	25	80449.50495049504	40627000	505	24	82881.53846153847	53873000	650	15593.0	1643383.930638995	1517.5	SAS	SAS	0.5351233405584247	0.4967717873126074	0.3119662047406897	0.23526165240472965	6.676506060251235e-05	0.0007296514647213943	0.00011973094110255509	-0.34561617522134686	0.12706535640950156	-0.4010612453707535
Makrani	Burusho	53371.275605214156	229287296	4296	25	82959.94608126325	430811000	5193	24	83004.2372881356	470136000	5664	59911.50442477876	13540226	226	25	84103.2258064516	39108000	465	24	82881.53846153847	53873000	650	14151.0	1659284.9263622458	1685.5	SAS	SAS	0.532222473428023	0.48770418772440316	0.3462265009716682	0.2513360310359549	6.171733125589304e-05	0.0007367114003844425	0.00012448093554716147	-0.39225114443193226	0.2948463963988855	-0.37260081627724034
Kalash	Burusho	54024.819624819625	187199465	3465	22	85339.24441017733	332055000	3891	24	83004.2372881356	470136000	5664	57212.121212121216	11328198	198	22	87223.5294117647	29656000	340	24	82881.53846153847	53873000	650	13954.5	1620430.0482169208	1467.5	SAS	SAS	0.5637604161961121	0.39818151556145454	0.3819867143242514	0.21027598240305906	7.454348226903319e-05	0.0007194600945746771	0.00012954399278684923	-0.27375288184407864	-0.115134964350176	-0.3422646162570163
Pathan	Burusho	54089.26673751328	254494705	4705	24	83494.3231441048	478005000	5725	24	83004.2372881356	470136000	5664	56305.08474576271	16610295	295	24	78737.78501628664	48345000	614	24	82881.53846153847	53873000	650	16681.0	1626031.8738509342	1736.5	SAS	SAS	0.5324101316931831	0.5413214580461824	0.34357834315854796	0.3083231860115457	6.554556803058044e-05	0.0007219472676586821	0.00010454359781087573	-0.35688282496410123	-0.056026708045217914	-0.49205889008642045
Sindhi	Burusho	53439.03489875054	248068642	4642	24	83600.0	469832000	5620	24	83004.2372881356	470136000	5664	55990.44585987261	17581314	314	24	80912.57668711657	52755000	652	24	82881.53846153847	53873000	650	16673.5	1644173.2014707138	1853.5	SAS	SAS	0.527994351172334	0.5276529387241139	0.3332634631788456	0.326347409648618	6.721325140321444e-05	0.0007300018956874569	0.00010542442959610413	-0.3414754294016035	0.13539343115927702	-0.4867812311629935
Mozabite	Burusho	54152.43472124206	153470834	2834	27	86723.33044232437	299976000	3459	24	83004.2372881356	470136000	5664	48279.56989247312	4490093	93	26	74697.8021978022	13595000	182	24	82881.53846153847	53873000	650	9812.0	1766539.3490300218	694.5	MID	SAS	0.5116103754967064	0.3264392303503667	0.33027532180948876	0.0833458875503499	6.393397197541782e-05	0.0007843316461093482	0.00015467385642123672	-0.3717720409365752	1.426552793398113	-0.19169460813663688
Burusho	Hazara	52720.891629120226	222328217	4217	24	83004.2372881356	470136000	5664	19	84074.29015947103	432310000	5142	57004.739336492894	12028211	211	24	82881.53846153847	53873000	650	19	87803.21285140562	43726000	498	14936.5	1635810.8934422568	1303.0	SAS	SAS	0.4729019198699951	0.514279607226296	0.22326974551259443	0.27508143896080134	6.718220566667883e-05	0.0007262890868984342	0.0001083286616771189	-0.3417622547973486	0.0471576525863323	-0.46938001266121554
Hazara	Hazara	84074.29015947103	432315142	5142	19	84074.29015947103	432310000	5142	19	84074.29015947103	432310000	5142	87803.21285140562	43726498	498	19	87803.21285140562	43726000	498	19	87803.21285140562	43726000	498	290744.0	1560566.0818584398	40441.0	SAS	SAS	1.0000118942425573	1.0000118942425573	1.0000113891048803	1.0000113891048803	0.0006725279125198904	0.0006928808942288918	0.000924862539872276	5.250906539888855	-0.7467959438464952	4.42302666566919
Uygur	Hazara	54763.576357635764	182530333	3333	10	88113.44113188479	348753000	3958	19	84074.29015947103	432310000	5142	65076.086956521736	11974184	184	10	83228.3950617284	26966000	324	19	87803.21285140562	43726000	498	13178.5	1611664.9222988947	1376.5	SAS	SAS	0.5233799651902636	0.4222209363651084	0.44404746718089444	0.27384585829940994	7.219895884373366e-05	0.0007155684373390678	0.00011495564123617943	-0.29541346826707443	-0.20762111853572446	-0.4296732963599015
Bougainville	Hazara	53357.63888888889	107571016	2016	11	100468.92870758673	263530000	2623	19	84074.29015947103	432310000	5142	50586.41975308642	8195162	162	11	111934.0434248259	273231000	2441	19	87803.21285140562	43726000	498	10135.5	1682886.3108133152	1286.5	OCE	SAS	0.4081926763556331	0.24882842404755848	0.02999352928474441	0.1874208022686731	9.422147690786894e-05	0.000747190257097785	0.00015698286379207634	-0.09195179642677438	0.5438789033757588	-0.1778597834183048
PapuanHighlands	Hazara	52922.71818787475	79438501	1501	9	96848.01864801865	207739000	2145	19	84074.29015947103	432310000	5142	56966.38655462185	6779119	119	9	102869.12065439673	251515000	2445	19	87803.21285140562	43726000	498	8445.5	1701302.2250311156	1077.0	OCE	SAS	0.3823957032622666	0.1837535587888321	0.026953139971771067	0.1550363399350501	0.00010631494670323651	0.0007553667997380534	0.00015887020127541647	0.019777369863378125	0.7381963721428102	-0.1665514681672998
PapuanSepik	Hazara	51707.64331210191	81182570	1570	8	95321.77088087631	208850000	2191	19	84074.29015947103	432310000	5142	56642.20183486238	6174109	109	8	104995.32710280374	247159000	2354	19	87803.21285140562	43726000	498	8279.5	1699293.820729066	869.0	OCE	SAS	0.38871232942303086	0.1877878605630219	0.024980312268620606	0.14119994968668526	0.00010198617757481687	0.0007544750816717988	0.0001407490538310872	-0.02021526864026624	0.7170044814976024	-0.2751275176652205
Colombian	Hazara	53038.13038130381	86241626	1626	7	90187.00114025085	158188000	1754	19	84074.29015947103	432310000	5142	50729.166666666664	4870096	96	7	83488.23529411765	14193000	170	19	87803.21285140562	43726000	498	8475.0	1604792.8320689206	836.0	AMR	SAS	0.5451843755531393	0.19949024079942634	0.3431336574367646	0.11137757855738005	9.82704106251429e-05	0.0007125172752773526	0.00017165986050377653	-0.05454450172559652	-0.28013270622201975	-0.08991997020581086
Karitiana	Hazara	53352.06216377764	89259673	1673	12	89790.09566685425	159557000	1777	19	84074.29015947103	432310000	5142	52018.34862385321	5670109	109	12	77456.14035087719	13245000	171	19	87803.21285140562	43726000	498	9063.0	1599538.620580026	992.0	AMR	SAS	0.55942185551245	0.2064714510420763	0.42809429973574936	0.12967362667520468	0.00010153521400420098	0.0007101844405469209	0.00017495254500398492	-0.024381631530711764	-0.3355730750689789	-0.07019127055398285
Surui	Hazara	55945.765230312034	75304346	1346	8	94387.41958541816	132048000	1399	19	84074.29015947103	432310000	5142	51410.256410256414	4010078	78	8	74693.54838709677	9262000	124	19	87803.21285140562	43726000	498	9235.0	1598786.2026012284	769.0	AMR	SAS	0.5702800951169272	0.17419061784367698	0.4329602677607428	0.09170923478022229	0.00012263568426714707	0.0007098503720008698	0.00019176684343795807	0.1705614237462925	-0.3435122930391305	0.030554562713390118
