pop1	pop2	reg1	reg2	number_of_ind1	number_of_ind2	mpd_neanderthal	div_neanderthal	mpd_human	div_human	int_mean_frag_length	int_total_seq_length	int_number_of_frags	art1_mean_frag_length	art1_total_seq_length	art1_number_of_frags	art2_mean_frag_length	art2_total_seq_length	art2_number_of_frags	ratio
NorthernHan	Oroqen	EAS	EAS	10	9	45113.5	0.0003453982375414392	1486381.4377035862	0.0006599434088012611	54286.36741479634	130613000	2406	85439.47858472998	275286000	3222	83778.13504823152	260550000	3110	0.4744629221972785
Naxi	Oroqen	EAS	EAS	8	9	42831.5	0.0003435755310274017	1491374.2659216968	0.0006621601911091118	56691.223283310595	124664000	2199	88766.8252889191	261152000	2942	83778.13504823152	260550000	3110	0.47736184291140793
Yi	Oroqen	EAS	EAS	10	9	45149.0	0.0003465030430010975	1493115.9097644577	0.0006629334693170832	54065.97510373444	130299000	2410	87185.6014580802	287015000	3292	83778.13504823152	260550000	3110	0.45397975715554933
Tu	Oroqen	EAS	EAS	10	9	47517.5	0.0003513698376899471	1500333.5701313794	0.000666138062206426	54906.6179455948	135235000	2463	86606.52870883125	297147000	3431	83778.13504823152	260550000	3110	0.45511144315776364
Tujia	Oroqen	EAS	EAS	9	9	45055.0	0.000346683594952293	1487135.251588721	0.0006602780971203821	56528.925619834714	129960000	2299	89896.23908663532	267711000	2978	83778.13504823152	260550000	3110	0.48544886089850625
Cambodian	Oroqen	EAS	EAS	9	9	43137.5	0.00035779751833051325	1526790.5861512113	0.0006778848002212742	53417.811253876826	120564000	2257	85110.81794195251	290313000	3411	83778.13504823152	260550000	3110	0.4152897045602505
Dai	Oroqen	EAS	EAS	9	9	41646.0	0.0003614821758716767	1501417.7660242366	0.0006666194379254648	52896.694214876035	115209000	2178	84013.2362673726	253888000	3022	83778.13504823152	260550000	3110	0.453778831610789
Lahu	Oroqen	EAS	EAS	8	9	38079.0	0.00034354306129445516	1503229.1220422396	0.0006674236678726044	54441.06090373281	110842000	2036	89675.22935779816	244365000	2725	83778.13504823152	260550000	3110	0.4535919628424693
Miao	Oroqen	EAS	EAS	10	9	45116.0	0.0003510044035041312	1489173.273632905	0.0006611829652658891	54051.30361648444	128534000	2378	87096.5890978642	273222000	3137	83778.13504823152	260550000	3110	0.47043795887593237
Han	Oroqen	EAS	EAS	33	9	54706.0	0.00033005725593826735	1486956.3617867415	0.0006601986712457556	51925.75187969925	165747000	3192	78911.08476585655	399369000	5061	83778.13504823152	260550000	3110	0.4150221975165824
She	Oroqen	EAS	EAS	10	9	44458.0	0.000349985829895771	1487164.7235295614	0.0006602911824648359	55519.230769230766	127028000	2288	88498.33222148099	265318000	2998	83778.13504823152	260550000	3110	0.47877641170218377
Adygei	Oroqen	EUR	EAS	16	9	35755.0	0.0003782997407818865	1674321.1951711716	0.0007433874030858389	51591.157205240175	94515000	1832	87799.51219512195	359978000	4100	83778.13504823152	260550000	3110	0.26255771186016924
Basque	Oroqen	EUR	EAS	23	9	29969.0	0.0003810425937698665	1685692.2270912393	0.0007484360651429427	50159.43877551021	78650000	1568	84647.71598808342	340961000	4028	83778.13504823152	260550000	3110	0.23067154307970705
Sardinian	Oroqen	EUR	EAS	28	9	30400.5	0.0003903054346570119	1694660.4595319645	0.000752417900315076	47667.68665850673	77889000	1634	83547.36098020735	354575000	4244	83778.13504823152	260550000	3110	0.21966861735880985
BergamoItalian	Oroqen	EUR	EAS	12	9	28342.5	0.0003895769188475918	1686948.071457894	0.0007489936516353672	52987.61835396941	72752000	1373	89985.15151515152	296951000	3300	83778.13504823152	260550000	3110	0.24499664927883724
Tuscan	Oroqen	EUR	EAS	8	9	22677.5	0.0004143522748035812	1690280.1082185183	0.0007504730536530988	48909.740840035745	54730000	1119	89399.92503748125	238519000	2668	83778.13504823152	260550000	3110	0.22945761134333115
French	Oroqen	EUR	EAS	28	9	34570.0	0.0003854774143910081	1683431.2424876145	0.0007474322031135105	48034.81521156936	89681000	1867	81519.47236180905	389337000	4776	83778.13504823152	260550000	3110	0.23034286492164885
Orcadian	Oroqen	EUR	EAS	15	9	30202.0	0.0003945085950154136	1680106.9185813728	0.0007459562255514965	50532.01320132013	76556000	1515	85381.43762049022	310020000	3631	83778.13504823152	260550000	3110	0.24693890716727954
Bedouin	Oroqen	MID	EAS	46	9	36117.0	0.0003904624964864105	1741287.1442572593	0.0007731198362234341	47313.55498721228	92498000	1955	79872.41706161137	421327000	5275	83778.13504823152	260550000	3110	0.21953969244790864
Palestinian	Oroqen	MID	EAS	46	9	37812.5	0.0004108803842308862	1729557.0603215352	0.000767911757474801	45739.562624254475	92028000	2012	78281.71573973101	430706000	5502	83778.13504823152	260550000	3110	0.21366779195088995
Druze	Oroqen	MID	EAS	42	9	34905.5	0.00039797849658522124	1705702.944020188	0.0007573206895116715	47128.96292315959	87707000	1861	79069.13866357667	409420000	5178	83778.13504823152	260550000	3110	0.2142225587416345
Russian	Oroqen	EUR	EAS	25	9	44160.0	0.00037598338044477744	1659645.056719329	0.0007368712958523471	51155.052264808364	117452000	2296	83296.06707925734	417230000	5009	83778.13504823152	260550000	3110	0.2815042063130647
Balochi	Oroqen	SAS	EAS	24	9	41048.5	0.00037938316789589457	1686259.0113349583	0.0007486877135532139	49337.893296853625	108198000	2193	83252.24382946896	445233000	5348	83778.13504823152	260550000	3110	0.24301433182176524
Brahui	Oroqen	SAS	EAS	25	9	39674.5	0.00037236968070129334	1690255.49733741	0.000750462126586627	49144.83394833948	106546000	2168	83963.44747979993	436442000	5198	83778.13504823152	260550000	3110	0.24412407605134245
Makrani	Oroqen	SAS	EAS	25	9	41088.0	0.00039247301556977746	1707023.4840459342	0.0007579070004436728	49710.35137701804	104690000	2106	82959.94608126325	430811000	5193	83778.13504823152	260550000	3110	0.24300679416263746
Kalash	Oroqen	SAS	EAS	22	9	33707.5	0.00039463209038225134	1664927.2492682724	0.0007392165539861408	49060.88454910971	85415000	1741	85339.24441017733	332055000	3891	83778.13504823152	260550000	3110	0.2572314827362937
Pathan	Oroqen	SAS	EAS	24	9	45755.0	0.00037450991626627816	1665526.9548730566	0.000739482819260356	50526.46815550041	122173000	2418	83494.3231441048	478005000	5725	83778.13504823152	260550000	3110	0.25558937668016024
Sindhi	Oroqen	SAS	EAS	24	9	42326.0	0.00036240495924378383	1681040.3722862287	0.0007463706727481007	48301.07526881721	116792000	2418	83600.0	469832000	5620	83778.13504823152	260550000	3110	0.24858247203255632
Mozabite	Oroqen	MID	EAS	27	9	25416.5	0.0003965998814093562	1804518.352472648	0.0008011940694140449	47789.70917225951	64086000	1341	86723.33044232437	299976000	3459	83778.13504823152	260550000	3110	0.21363709096727737
Burusho	Daur	SAS	EAS	24	9	49752.5	0.00037071464230628803	1648705.9654791427	0.0007320144125657865	52795.830055074744	134207000	2542	83004.2372881356	470136000	5664	87494.140625	268782000	3072	0.2854642061020641
Hazara	Daur	SAS	EAS	19	9	51618.0	0.0003533253018645785	1584233.4690676387	0.0007033890557250345	53474.37774524158	146092000	2732	84074.29015947103	432310000	5142	87494.140625	268782000	3072	0.33793342740163307
Uygur	Daur	SAS	EAS	10	9	47390.5	0.00037354473582570724	1579527.8064024663	0.0007012997730004597	54849.54604409857	126867000	2313	88113.44113188479	348753000	3958	87494.140625	268782000	3072	0.3637732148540658
Bougainville	Daur	OCE	EAS	11	9	34977.0	0.000385264410102768	1635502.718308989	0.0007261522592021258	56848.46587351284	90787000	1597	100468.92870758673	263530000	2623	87494.140625	268782000	3072	0.34450347209046406
PapuanHighlands	Daur	OCE	EAS	9	9	25467.5	0.0004121221438280795	1663406.7572513362	0.0007385414657084897	55672.07207207207	61796000	1110	96848.01864801865	207739000	2145	87494.140625	268782000	3072	0.29746942076355426
PapuanSepik	Daur	OCE	EAS	8	9	26013.5	0.0004041183141476752	1658972.7991554155	0.0007365728179939267	54644.31239388794	64371000	1178	95321.77088087631	208850000	2191	87494.140625	268782000	3072	0.3082164232702897
Colombian	Daur	AMR	EAS	7	9	27562.0	0.00037797586396050466	1543430.4996004996	0.0006852728104085161	57102.584181675804	72920000	1277	90187.00114025085	158188000	1754	87494.140625	268782000	3072	0.4609704908084052
Karitiana	Daur	AMR	EAS	12	9	29323.5	0.0003915595080719465	1537410.7843219033	0.0006826000971195856	56349.88713318284	74889000	1329	89790.09566685425	159557000	1777	87494.140625	268782000	3072	0.46935577881258733
Surui	Daur	AMR	EAS	8	9	25949.0	0.0004221889592112328	1535322.1856095097	0.0006816727732719437	58424.90494296578	61463000	1052	94387.41958541816	132048000	1399	87494.140625	268782000	3072	0.4654595298679268
Pima	Daur	AMR	EAS	13	9	31589.0	0.00038765692687177096	1542498.3104794351	0.0006848589246786504	54799.59650302623	81487000	1487	90849.21014839636	189784000	2089	87494.140625	268782000	3072	0.42936706993213336
Maya	Daur	AMR	EAS	21	9	38351.5	0.0003584721365412297	1560708.0558974869	0.0006929439297518829	54612.557427258806	106986000	1959	86030.21718602456	273318000	3177	87494.140625	268782000	3072	0.391434153623252
Yakut	Daur	EAS	EAS	25	9	55012.5	0.00034752272598058105	1505843.8085763918	0.0006685845711915809	55079.67988865692	158299000	2874	85160.19310950187	388075000	4557	87494.140625	268782000	3072	0.4079082651549314
Oroqen	Daur	EAS	EAS	9	9	44868.5	0.00034156117019251995	1476645.3677089554	0.0006556206588949442	54848.851774530274	131363000	2395	83778.13504823152	260550000	3110	87494.140625	268782000	3072	0.5041757819996162
Daur	Daur	EAS	EAS	9	9	961806.0	0.00357838694555439	1394230.7524687978	0.0006190291213952139	87494.140625	268782000	3072	87494.140625	268782000	3072	87494.140625	268782000	3072	1.0
Hezhen	Daur	EAS	EAS	9	9	46523.0	0.0003439930791754163	1478913.2151871203	0.0006566275679947334	56729.86577181208	135244000	2384	85640.29706167258	265228000	3097	87494.140625	268782000	3072	0.5099159968027508
Mongolian	Daur	EAS	EAS	9	9	45973.5	0.00034258472681749085	1490441.2095299088	0.0006617459203168502	56172.457095018835	134196000	2389	87875.03914813655	280585000	3193	87494.140625	268782000	3072	0.4782721813354242
Xibo	Daur	EAS	EAS	9	9	47218.5	0.0003593247037874118	1491565.9120865902	0.0006622452807234835	57184.07310704961	131409000	2298	88987.14239794278	276839000	3111	87494.140625	268782000	3072	0.4746766170951347
Japanese	Daur	EAS	EAS	27	9	53343.5	0.00032800932188798977	1482476.1770873715	0.0006582094992286928	53268.26072715362	162628000	3053	78430.189501198	360073000	4591	87494.140625	268782000	3072	0.4516528592813124
NorthernHan	Daur	EAS	EAS	10	9	47508.0	0.00035539663065920586	1486275.9176576575	0.0006598965586071988	55490.24491490245	133676000	2409	85439.47858472998	275286000	3222	87494.140625	268782000	3072	0.4855895323409109
Naxi	Daur	EAS	EAS	8	9	45266.5	0.00035942338536786776	1491729.9986891693	0.0006623181340766659	56324.686940966014	125942000	2236	88766.8252889191	261152000	2942	87494.140625	268782000	3072	0.4822555446636442
Yi	Daur	EAS	EAS	10	9	47009.0	0.00035259482609902265	1492243.3502849236	0.0006625460587489082	56041.614123581334	133323000	2379	87185.6014580802	287015000	3292	87494.140625	268782000	3072	0.4645157918575684
Tu	Daur	EAS	EAS	10	9	47420.5	0.00034381117410785494	1499794.8975136834	0.0006658988951699354	56619.86863711002	137926000	2436	86606.52870883125	297147000	3431	87494.140625	268782000	3072	0.4641675668945
Tujia	Daur	EAS	EAS	9	9	47171.0	0.0003574291711183348	1485780.9020777722	0.0006596767750032647	58550.57675244011	131973000	2254	89896.23908663532	267711000	2978	87494.140625	268782000	3072	0.4929681634299674
Cambodian	Daur	EAS	EAS	9	9	45240.5	0.00036704203412382257	1526322.8779515717	0.0006776771409113791	55396.40449438202	123257000	2225	85110.81794195251	290313000	3411	87494.140625	268782000	3072	0.4245658995635745
Dai	Daur	EAS	EAS	9	9	42341.5	0.00036109381795853624	1500978.3907687669	0.000666424358253126	54488.382899628254	117259000	2152	84013.2362673726	253888000	3022	87494.140625	268782000	3072	0.46185325812956896
Lahu	Daur	EAS	EAS	8	9	41259.5	0.0003639655613482591	1501748.9421842801	0.0006667664779236974	55271.08727450024	113361000	2051	89675.22935779816	244365000	2725	87494.140625	268782000	3072	0.46390031305628876
Miao	Daur	EAS	EAS	10	9	47178.0	0.00036589678760334425	1487287.1526687932	0.0006603455401831388	55290.73756432247	128938000	2332	87096.5890978642	273222000	3137	87494.140625	268782000	3072	0.47191660993624235
Han	Daur	EAS	EAS	33	9	55910.0	0.000328986854647947	1485703.6298083833	0.000659642466632901	53241.228070175435	169946000	3192	78911.08476585655	399369000	5061	87494.140625	268782000	3072	0.4255362834872011
She	Daur	EAS	EAS	10	9	45543.5	0.0003534641324340895	1485948.016466645	0.0006597509726732941	56562.33538191396	128849000	2278	88498.33222148099	265318000	2998	87494.140625	268782000	3072	0.4856398736610407
Adygei	Daur	EUR	EAS	16	9	37015.0	0.0003796059850885559	1675517.2039269493	0.0007439184229675616	54292.31625835189	97509000	1796	87799.51219512195	359978000	4100	87494.140625	268782000	3072	0.2708748867986377
Basque	Daur	EUR	EAS	23	9	32109.0	0.0004034807740638351	1687229.2789795792	0.0007491185058926486	50849.84025559106	79580000	1565	84647.71598808342	340961000	4028	87494.140625	268782000	3072	0.23339912775947982
Sardinian	Daur	EUR	EAS	28	9	31434.5	0.0003879509299369346	1695876.207881523	0.0007529576844443045	50610.2435977514	81027000	1601	83547.36098020735	354575000	4244	87494.140625	268782000	3072	0.22851864908693506
BergamoItalian	Daur	EUR	EAS	12	9	28047.5	0.00038458110516934046	1688118.924724926	0.0007495135026484725	55842.26646248086	72930000	1306	89985.15151515152	296951000	3300	87494.140625	268782000	3072	0.2455960747732791
Tuscan	Daur	EUR	EAS	8	9	24377.5	0.0004093000218270958	1690595.1902290692	0.0007506129479566875	52988.434163701066	59559000	1124	89399.92503748125	238519000	2668	87494.140625	268782000	3072	0.24970337792796382
French	Daur	EUR	EAS	28	9	36292.5	0.00039926621047767826	1685046.238698392	0.0007481492506206352	51008.97867564534	90898000	1782	81519.47236180905	389337000	4776	87494.140625	268782000	3072	0.2334686916475958
Orcadian	Daur	EUR	EAS	15	9	30203.5	0.00039384396719216577	1681554.925125907	0.0007465991307646044	51262.70053475936	76689000	1496	85381.43762049022	310020000	3631	87494.140625	268782000	3072	0.24736791174762918
Bedouin	Daur	MID	EAS	46	9	38261.0	0.00039674194819469506	1741395.3921228999	0.0007731678975511889	50837.11122825514	96438000	1897	79872.41706161137	421327000	5275	87494.140625	268782000	3072	0.22889109883771988
Palestinian	Daur	MID	EAS	46	9	38206.5	0.0003960618248916717	1730045.5576220418	0.000768128647006323	48499.74861739568	96466000	1989	78281.71573973101	430706000	5502	87494.140625	268782000	3072	0.22397180443272208
Druze	Daur	MID	EAS	42	9	34972.5	0.0003835460946239389	1706616.8612766967	0.0007577264626559826	49636.36363636364	91182000	1837	79069.13866357667	409420000	5178	87494.140625	268782000	3072	0.22271017537003565
Russian	Daur	EUR	EAS	25	9	44593.0	0.0003714968842680529	1662790.7602761884	0.0007382679671748842	53254.65838509317	120036000	2254	83296.06707925734	417230000	5009	87494.140625	268782000	3072	0.2876974330704887
Balochi	Daur	SAS	EAS	24	9	42198.0	0.0003809687175551844	1687440.5241426253	0.0007492122973310083	50763.06141154904	110765000	2182	83252.24382946896	445233000	5348	87494.140625	268782000	3072	0.2487798523469734
Brahui	Daur	SAS	EAS	25	9	41048.0	0.00037361537131258706	1691035.3213323695	0.0007508083632204036	51799.622819424796	109867000	2121	83963.44747979993	436442000	5198	87494.140625	268782000	3072	0.2517333345553361
Makrani	Daur	SAS	EAS	25	9	40440.5	0.0003751437847866419	1708138.222916747	0.0007584019370404754	51976.85631629701	107800000	2074	82959.94608126325	430811000	5193	87494.140625	268782000	3072	0.25022573704014056
Kalash	Daur	SAS	EAS	22	9	34921.0	0.00038888393950867504	1667157.6069158015	0.0007402068178520772	51697.17904432931	89798000	1737	85339.24441017733	332055000	3891	87494.140625	268782000	3072	0.27043110328108294
Pathan	Daur	SAS	EAS	24	9	46047.0	0.00036941034897713595	1667033.5040538646	0.0007401517170120968	52395.96469104666	124650000	2379	83494.3231441048	478005000	5725	87494.140625	268782000	3072	0.26077133084381965
Sindhi	Daur	SAS	EAS	24	9	44215.5	0.00037236300245067076	1682299.2971846526	0.0007469296269760103	50507.443641003825	118743000	2351	83600.0	469832000	5620	87494.140625	268782000	3072	0.2527350201774251
Mozabite	Daur	MID	EAS	27	9	27576.5	0.00040237692240347855	1804402.4280375338	0.0008011425997408291	53250.97125097125	68534000	1287	86723.33044232437	299976000	3459	87494.140625	268782000	3072	0.22846494386217564
Burusho	Hezhen	SAS	EAS	24	9	47603.0	0.0003652637636677537	1648772.3922148598	0.0007320439055917977	51309.055118110235	130325000	2540	83004.2372881356	470136000	5664	85640.29706167258	265228000	3097	0.2772070209471302
Hazara	Hezhen	SAS	EAS	19	9	55740.5	0.0003658521377282453	1584437.8342938588	0.0007034797925174964	55302.35934664247	152358000	2755	84074.29015947103	432310000	5142	85640.29706167258	265228000	3097	0.35242765608012766
Uygur	Hezhen	SAS	EAS	10	9	48578.5	0.0003757270364755747	1579048.6690607308	0.0007010870392279785	55017.87234042553	129292000	2350	88113.44113188479	348753000	3958	85640.29706167258	265228000	3097	0.3707265600582647
Bougainville	Hezhen	OCE	EAS	11	9	35077.0	0.0003964443540275094	1634318.5243005236	0.0007256264849891242	53819.34306569343	88479000	1644	100468.92870758673	263530000	2623	85640.29706167258	265228000	3097	0.33574545592532157
PapuanHighlands	Hezhen	OCE	EAS	9	9	22874.5	0.0003977966366972158	1662650.5752636774	0.0007382057259676996	52370.67395264117	57503000	1098	96848.01864801865	207739000	2145	85640.29706167258	265228000	3097	0.27680406664131435
PapuanSepik	Hezhen	OCE	EAS	8	9	23325.5	0.00037711186199537613	1657708.453843602	0.0007360114571387554	52373.41236240474	61853000	1181	95321.77088087631	208850000	2191	85640.29706167258	265228000	3097	0.2961599233899928
Colombian	Hezhen	AMR	EAS	7	9	27954.5	0.00039496029839780725	1542262.1895107415	0.0006847540885490969	55730.708661417324	70778000	1270	90187.00114025085	158188000	1754	85640.29706167258	265228000	3097	0.447429640680709
Karitiana	Hezhen	AMR	EAS	12	9	29717.0	0.0004031336905650139	1534629.4547101066	0.0006813652053896103	55971.905846621106	73715000	1317	89790.09566685425	159557000	1777	85640.29706167258	265228000	3097	0.4619979067041872
Surui	Hezhen	AMR	EAS	8	9	25581.5	0.0004287521997821168	1531480.0960802438	0.0006799669112391261	56181.732580037664	59665000	1062	94387.41958541816	132048000	1399	85640.29706167258	265228000	3097	0.4518432691142615
Pima	Hezhen	AMR	EAS	13	9	33030.0	0.0003893853299695848	1538166.826612979	0.0006829357748360279	56663.994655978626	84826000	1497	90849.21014839636	189784000	2089	85640.29706167258	265228000	3097	0.44696075538506935
Maya	Hezhen	AMR	EAS	21	9	38554.0	0.00037332842714798926	1557899.9255822736	0.0006916971386889892	53122.94238683127	103271000	1944	86030.21718602456	273318000	3177	85640.29706167258	265228000	3097	0.3778419277178964
Yakut	Hezhen	EAS	EAS	25	9	57548.0	0.00035717034296992343	1504258.7732908889	0.0006678808261347258	55886.92334373916	161122000	2883	85160.19310950187	388075000	4557	85640.29706167258	265228000	3097	0.4151826322231527
Oroqen	Hezhen	EAS	EAS	9	9	47261.5	0.00034890665603590833	1474012.0565813538	0.0006544514863811454	55560.295324036095	135456000	2438	83778.13504823152	260550000	3110	85640.29706167258	265228000	3097	0.5198848589522165
Daur	Hezhen	EAS	EAS	9	9	46523.0	0.0003439930791754163	1478913.2151871203	0.0006566275679947334	56729.86577181208	135244000	2384	87494.140625	268782000	3072	85640.29706167258	265228000	3097	0.503173575611462
Hezhen	Hezhen	EAS	EAS	9	9	962991.0	0.0036308044399535493	1384718.618019028	0.0006148057973718356	85640.29706167258	265228000	3097	85640.29706167258	265228000	3097	85640.29706167258	265228000	3097	1.0
Mongolian	Hezhen	EAS	EAS	9	9	47256.0	0.00035044940820503696	1487753.891779276	0.0006605527692239352	56562.08053691275	134844000	2384	87875.03914813655	280585000	3193	85640.29706167258	265228000	3097	0.4805816419266889
Xibo	Hezhen	EAS	EAS	9	9	50266.5	0.0003650912973373426	1488675.9152434429	0.0006609621414701851	57922.59150189314	137682000	2377	88987.14239794278	276839000	3111	85640.29706167258	265228000	3097	0.49733599673456413
Japanese	Hezhen	EAS	EAS	27	9	57392.0	0.0003437037746809517	1479192.0910311951	0.0006567513870027637	53605.45746388443	166981000	3115	78430.189501198	360073000	4591	85640.29706167258	265228000	3097	0.46374207452377714
NorthernHan	Hezhen	EAS	EAS	10	9	47063.0	0.00035396093591353857	1482515.5225543939	0.0006582269683526801	53852.1668691778	132961000	2469	85439.47858472998	275286000	3222	85640.29706167258	265228000	3097	0.48299223353167253
Naxi	Hezhen	EAS	EAS	8	9	47549.5	0.0003580157212342072	1488183.69922697	0.0006607436008536665	58022.71734381826	132814000	2289	88766.8252889191	261152000	2942	85640.29706167258	265228000	3097	0.5085697218478128
Yi	Hezhen	EAS	EAS	10	9	48767.5	0.0003458442663640877	1489045.9830241979	0.0006611264490876809	57909.65092402464	141010000	2435	87185.6014580802	287015000	3292	85640.29706167258	265228000	3097	0.4912983641969932
Tu	Hezhen	EAS	EAS	10	9	50102.0	0.00036049272567670635	1497444.5320759718	0.0006648553486484662	57006.56275635767	138982000	2438	86606.52870883125	297147000	3431	85640.29706167258	265228000	3097	0.4677213635002204
Tujia	Hezhen	EAS	EAS	9	9	47071.0	0.00035133380107181777	1482774.0693355112	0.0006583417613928359	57774.04053471324	133978000	2319	89896.23908663532	267711000	2978	85640.29706167258	265228000	3097	0.500457582990613
Cambodian	Hezhen	EAS	EAS	9	9	45581.5	0.00036658758243525815	1522853.388271776	0.0006761367107176176	54037.375054324206	124340000	2301	85110.81794195251	290313000	3411	85640.29706167258	265228000	3097	0.4282963560019703
Dai	Hezhen	EAS	EAS	9	9	45579.0	0.0003801830056636666	1497439.8158723812	0.0006648532546856413	53520.982142857145	119887000	2240	84013.2362673726	253888000	3022	85640.29706167258	265228000	3097	0.4722042790521805
Lahu	Hezhen	EAS	EAS	8	9	41685.0	0.0003528859014950138	1498186.6377685359	0.000665184838608458	56900.77071290944	118126000	2076	89675.22935779816	244365000	2725	85640.29706167258	265228000	3097	0.4833998322181982
Miao	Hezhen	EAS	EAS	10	9	48864.0	0.00036465127386158414	1483967.7759712	0.000658871759148649	56350.71488645921	134002000	2378	87096.5890978642	273222000	3137	85640.29706167258	265228000	3097	0.49045098857339453
Han	Hezhen	EAS	EAS	33	9	59742.0	0.0003418692883016406	1482265.2664275111	0.0006581158563075084	52826.78355501814	174751000	3308	78911.08476585655	399369000	5061	85640.29706167258	265228000	3097	0.43756776314636336
She	Hezhen	EAS	EAS	10	9	47861.0	0.0003512501926478251	1481946.8117951283	0.0006579744645824019	57348.063973063974	136259000	2376	88498.33222148099	265318000	2998	85640.29706167258	265228000	3097	0.5135686233124025
Adygei	Hezhen	EUR	EAS	16	9	36675.0	0.0003794344951736553	1678099.3707821444	0.0007450648877667613	53787.97996661102	96657000	1797	87799.51219512195	359978000	4100	85640.29706167258	265228000	3097	0.26850807549350236
Basque	Hezhen	EUR	EAS	23	9	29600.5	0.0003905749007085648	1689911.8483242388	0.0007503095487250965	48488.163787587975	75787000	1563	84647.71598808342	340961000	4028	85640.29706167258	265228000	3097	0.2222746883074604
Sardinian	Hezhen	EUR	EAS	28	9	30436.0	0.00038772962368467987	1699114.4534227196	0.0007543954437884298	48336.206896551725	78498000	1624	83547.36098020735	354575000	4244	85640.29706167258	265228000	3097	0.22138616653740392
BergamoItalian	Hezhen	EUR	EAS	12	9	26626.0	0.0003881963580165916	1690980.301239363	0.0007507839346674022	51300.67314884069	68589000	1337	89985.15151515152	296951000	3300	85640.29706167258	265228000	3097	0.23097750133860467
Tuscan	Hezhen	EUR	EAS	8	9	21551.0	0.00038942194756148244	1693515.0891720206	0.0007519093635421402	49991.86991869919	55341000	1107	89399.92503748125	238519000	2668	85640.29706167258	265228000	3097	0.23201925213505004
French	Hezhen	EUR	EAS	28	9	33063.0	0.0003791976328103496	1688009.8530918194	0.0007494650755734768	48305.817174515236	87192000	1805	81519.47236180905	389337000	4776	85640.29706167258	265228000	3097	0.22394994567688148
Orcadian	Hezhen	EUR	EAS	15	9	27700.5	0.0003871596690333762	1683872.4354222915	0.0007476280898232501	48115.669132481504	71548000	1487	85381.43762049022	310020000	3631	85640.29706167258	265228000	3097	0.23078511063802334
Bedouin	Hezhen	MID	EAS	46	9	35906.0	0.0003901087558805315	1744138.9487084313	0.0007743860183103476	48984.03406067057	92041000	1879	79872.41706161137	421327000	5275	85640.29706167258	265228000	3097	0.21845502424482646
Palestinian	Hezhen	MID	EAS	46	9	35605.0	0.00039248864588385733	1732102.712413402	0.0007690420099635056	45955.420466058764	90716000	1974	78281.71573973101	430706000	5502	85640.29706167258	265228000	3097	0.21062163053219599
Druze	Hezhen	MID	EAS	42	9	33861.5	0.00039041530231056587	1709434.3517455128	0.0007589774095644211	47394.53551912568	86732000	1830	79069.13866357667	409420000	5178	85640.29706167258	265228000	3097	0.2118411411264716
Russian	Hezhen	EUR	EAS	25	9	45597.5	0.0003902024714178134	1664995.8300798065	0.0007392470034073957	52121.32024977698	116856000	2242	83296.06707925734	417230000	5009	85640.29706167258	265228000	3097	0.28007573760276105
Balochi	Hezhen	SAS	EAS	24	9	43198.0	0.00040233589151330006	1688932.039734354	0.0007498745202698298	49684.405367885236	107368000	2161	83252.24382946896	445233000	5348	85640.29706167258	265228000	3097	0.24115013936523125
Brahui	Hezhen	SAS	EAS	25	9	41003.5	0.0003807125215873429	1692948.506868434	0.0007516578047919361	50375.116931711884	107702000	2138	83963.44747979993	436442000	5198	85640.29706167258	265228000	3097	0.2467727670572493
Makrani	Hezhen	SAS	EAS	25	9	40842.0	0.00039492539911233163	1709944.866161238	0.0007592040745477219	49767.56496631377	103417000	2078	82959.94608126325	430811000	5193	85640.29706167258	265228000	3097	0.2400519021102061
Kalash	Hezhen	SAS	EAS	22	9	36812.5	0.00042178924573484425	1667468.4943337913	0.0007403448497846466	49901.086335048596	87277000	1749	85339.24441017733	332055000	3891	85640.29706167258	265228000	3097	0.2628389875171282
Pathan	Hezhen	SAS	EAS	24	9	45594.5	0.0003742684058018601	1667929.0915725713	0.0007405493518755195	51121.69534200588	121823000	2383	83494.3231441048	478005000	5725	85640.29706167258	265228000	3097	0.25485716676603803
Sindhi	Hezhen	SAS	EAS	24	9	46309.5	0.00038838196197489035	1683420.1227809966	0.0007474272660382053	50804.0051129101	119237000	2347	83600.0	469832000	5620	85640.29706167258	265228000	3097	0.25378645984096443
Mozabite	Hezhen	MID	EAS	27	9	26713.0	0.0004202139373918515	1806375.3908007927	0.0008020185820010992	47796.99248120301	63570000	1330	86723.33044232437	299976000	3459	85640.29706167258	265228000	3097	0.2119169533562685
Burusho	Mongolian	SAS	EAS	24	9	50449.0	0.00037245478036175713	1647593.5407082879	0.0007315205034138751	51306.818181818184	135450000	2640	83004.2372881356	470136000	5664	87875.03914813655	280585000	3193	0.28810812190515084
Hazara	Mongolian	SAS	EAS	19	9	56649.5	0.0003626403523371785	1587114.067642677	0.0007046680222102026	54448.93691181597	156214000	2869	84074.29015947103	432310000	5142	87875.03914813655	280585000	3193	0.36134718142073974
Uygur	Mongolian	SAS	EAS	10	9	46373.0	0.0003582614204374261	1581857.864615207	0.0007023343032499745	54203.93634840871	129439000	2388	88113.44113188479	348753000	3958	87875.03914813655	280585000	3193	0.3711480618087873
Bougainville	Mongolian	OCE	EAS	11	9	35659.5	0.00038483828147764434	1639159.962161094	0.0007277760509916038	56466.17915904936	92661000	1641	100468.92870758673	263530000	2623	87875.03914813655	280585000	3193	0.35161461693165863
